Title,URL,Managed By,Small Description,CAGR time period,CAGR rate,Volatility,Overview,Minimum investment amount,Launch Date,Past performance: Small Case,Past performance: Equity,Past performance: FD,Past performance: Inflation,CAGR: Small Case,CAGR: Equity,CAGR: FD,CAGR: Inflation,Number of Smallcases managed by Manager,About manager
Mi_NNF10  Momentum,https://www.smallcase.com/smallcase/mi_nnf10-WKIMO_0009,Weekend Investing,10 stock Rotational Momentum Monthly rebalance. NNF50 index. Recommended size 3-15Lacs ,2Y,37.64,High ,The objective is to create sizeable alpha with liquid stocks from Nifty Next 50 using the momentum logic,43888,28/02/2011,759.74,321.98,216.79,192.54,20.29%,11.05%,7.18%,6.05%,0,"Alok is the Founder of Weekend Investing. He has been in the Indian stock markets for more than  two and a half decades now. He is passionate about building mechanical trading and investing models to invest in the markets that can generate superior returns. His dream is to try help others achieve Financial Independence early so that life can be lived to the full, like it has for him. He set up one of the first National Stock Exchange memberships in New Delhi in 1996. For two decades, he serviced institutional, Corporate, H.N.I. and retail clients and along the way developed a keen sense for systematic rule based investing systems and technical trading. On completing 20 years of the business in 2016, he decided to move on to a more fulfilling stage of his life and started a public blog and research services under the banner of Weekend Investing. He is a graduate from IIT Delhi (1991) and holds a Masters in Finance and an M.B.A. from University of Maryland USA (1995).Weekendinvesting Analytics P Limited is a closely held company promoted by Alok Jain which runs the Weekendinvesting brand and its products"
Digital Inclusion,https://www.smallcase.com/smallcase/digital-inclusion-SCNM_0014,Windmill Capital,Companies spearheading and benefitting from the digital revolution in India,6Y,15.45,High ,"With 560+ million internet users, India is now the 2nd largest online market behind China.Government programs like Digital India aim to increase internet connectivity within the countryTo enable affordable broadband and mobile service proliferation in rural and remote areas, 5% of annual collections under the Universal Service Obligation Fund has been earmarkedThe contracts for laying optical fibre in all villages, including remote areas, will be awarded under the Bharatnet project through the PPP route in 2022-23Despite its large size, there's tremendous scope for growth since internet penetration is only 48%, compared to more than 90% in developed nationsGrowing per capita income and an expanding technologically-savvy user base has increased demand for high-speed internet and pushed up the usage of dataThis smallcase consists of companies like data providers, equipment manufacturers and infrastructure enablers working in the data chain and enabling higher internet penetration in India. The smallcase also contains online services companies that will benefit from higher digital penetration.",17090,03/03/2014,247.94,226.31,144.86,134.23,15.25%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Teji Mandi Flagship,https://www.smallcase.com/smallcase/teji-mandi-TJPMO_0001,Teji Mandi,Concentrated portfolio of 15-20 stocks that blends short term tactical bets with long term winners,2Y,37.69,High ,"The Teji Mandi Flagship provides index-beating premium stock advisory &amp; education.1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Liquid stocks: We pick stocks from Nifty 500, providing optimum liquidity2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Focused stock picking: We combine a portfolio of short term tactical bets with long term winners. This ensures that the investor gets the advantage of stocks that would compound over a 12-18 month period, and is able to take advantage of special company/sector situations from a&nbsp;3-6 month perspective.3)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Disciplined selling: We look to protect investor capital by exiting stocks under 3 situations:a. Company or industry fundamentals have started to changeb. Too much negativity around a company or sectorc. An extreme macroeconomic/market situation.In some cases, we will exit volatile stocks, and hold the corresponding percentage of the portfolio in stable Liquid ETFs such as ‘Liquid Bees’. Once an opportunity arises, we will deploy the capital in stocks which meet our criteria.Note: As per SEBI guidelines, existing Motilal Oswal demat account holders cannot avail Teji Mandi services. Kindly reach out to support@tejimandi.com to know more.",22655,28/02/2020,310.65,138.75,129.61,115.88,33.18%,8.52%,6.69%,3.75%,0,"At Teji Mandi, our purpose is simple - to simplify stock investing.Teji Mandi is a subsidiary of Motilal Oswal Financial Services and a SEBI registered investment advisor. Vaibhav Agrawal is the founder of Teji Mandi and fund manager at Motilal Oswal Asset Management Company. He has over a decade of experience in stock picking and generating index-beating returns. Under the mentorship of ace investor, Mr Raamdeo Agrawal, Vaibhav has developed his distinct investment philosophy. Vaibhav holds a Bachelors in Computer Science from the University of Pennsylvania and an MBA from London Business School.The company counts two industry veterans as its directors, namely, Mr Raamdeo Agrawal, the Chairman of Motilal Oswal Financial Services, and Mr Ajay Menon, CEO at Motilal Oswal Securities."
ARQ Prime by Angel One,https://www.smallcase.com/smallcase/arq-prime-by-angel-broking-AGBMO_0012,Angel One,15 stock portfolio selected based on multi factor model and quantitative analytics ,6Y,29.45,Medium ,"ARQ Prime is a long only equity portfolio.ARQ Prime recommends stocks for investment based on a set of rules, free from human intervention or human bias. In the world of investing - it is called ""Smart Beta"". ARQ Prime adopts the time-tested and proven rules for investing in stocks. ARQ scans all types of stocks to pick Winners: Value stocks, Quality stocks, High Momentum stocks, Growth stocks across marketcap.Index Beating Performance:ARQ has performed consistently through the midcap fall, NBFC crisis and even during the current COVID-19 Crisis. ARQ Prime is tested against the most challenging market conditions to deliver the performance driven results.Optimised Risk-Reward:ARQ Prime identifies the timing to enter and exit the markets. It’s strong risk management system cuts the losses early and allows profits to run longer be big, thereby maximising profits and reducing draw downs/lossesThe smallcase usually follows a weekly rebalance schedule. However, During times of volatility, There might be more rebalances as needed",40497,12/05/2016,497.52,222.25,143.86,133.61,29.04%,13.53%,5.95%,4.71%,0,"Invest in Stocks and ETF baskets curated by Angel One’s research team. Angel One has been catering to investors' needs for 25+ years and is now trusted by 1 Crore+ users. Their flagship research product ARQ Prime is a long-only equity portfolio created using advanced quantitative analysis. ARQ Prime is a rule-based investment engine designed using fundamental and quantitative models. The ETF baskets have been similarly designed using quantitative analysis, rule-based methods, and a Nobel prize-winning MPT framework for asset allocation."
Equity & Debt,https://www.smallcase.com/smallcase/equity-and-debt-SCET_0013,Windmill Capital,A unique 2-in-1 portfolio of equity & debt suitable for low risk wealth creation,1Y,10.64,Low ,"Blue chip companies have well established business models and stock prices of such companies are usually very stable. Hence adding blue chip stocks to the portfolio increases stability of the portfolio.&nbsp;Debt investments have lower risk compared to equity investments. Interest is paid at predefined regular intervals on debt instruments. Holders of these instruments also receive a terminal value when the instrument matures. Generally, yields / returns on corporate debt tend to be higher compared to returns generated by bank fixed deposits.&nbsp;A portfolio that contains both equity and debt instruments is well diversified. Diversification across asset classes significantly reduces the probability of the portfolio experiencing dramatic declines and offers a smooth wealth creation journey.This smallcase provides exposure to blue chip companies as well as high quality debt instruments issued by public sector companies, through ETFs. 60% of the investment goes into top 100 market cap companies and 40% into debt issued by public sector enterprises.",3084,29/12/2006,537.33,432.94,298.09,281.07,11.80%,10.04%,7.39%,6.98%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Quality Smallcap - Smart Beta,https://www.smallcase.com/smallcase/quality-smallcap-smart-beta-SCMO_0041,Windmill Capital,Quality smallcap stocks with positive momentum trends,2Y,31.75,High ,"This smallcase aims to systematically outperform the smallcap index by quantitatively selecting smallcap stocks exhibiting strong quality fundamentals with positive momentum trends. Selection process takes place in three layers:Quality fundamentals known to be associated with healthy profits, cash flows and business stability, acts at the primary score used to screen the smallcap universeMomentum trends exhibited by these stocks acts as secondary filter to align the portfolio with market trendIf sufficient stocks fail to exhibit the mentioned traits, the portfolio is tilted towards gold until the situation normalizesThe smallcase offers a much better risk-reward ratio compared to Nifty Smallcap Index and Nifty Smallcap ETFs. It is best suited for investors looking to take exposure through quality smallcap stocks for passive long-term investing",32846,12/08/2017,1372.16,308.84,212.14,188.19,27.63%,10.90%,7.14%,5.97%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Banking Tracker,https://www.smallcase.com/smallcase/banking-tracker-SCTR_0002,Windmill Capital,Companies to efficiently track and invest in the banking sector,6Y,10.31,High ,"The Indian banking system consists of 12&nbsp;public sector banks, 22 private sector banks, 46 foreign banks, 56 regional rural banks, 1485 urban as well as multi state cooperative banks, besides the cooperative credit institutions.As of FY2021, the total banking sector assets, in India, stood at US$ 2480 bn. Between FY2016 and FY2021, credit&nbsp;off take grew at a CAGR of 0.29% to US$ 1487.60 bn and the deposit base grew at a 12.38% CAGR to US$ 2060 bn.Growing disposable income has been driving the demand for banking services as well as housing and personal loans.&nbsp;Government has also been keen on ensuring financial inclusion and has operationalized several measures like&nbsp;Pradhan Mantri Jan Dhan Yojana, launching of financial inclusion index etc.&nbsp;To further consolidate the financial capacity of Public Sector Banks (PSBs), a recapitalization of ₹20,000 crores is proposed in Budget 2021-22.Strong regulatory oversight and credible monetary policy of the Reserve Bank of India has allowed for stable growth of the banking sector in India.&nbsp;Growth in ""Other Income"" and increasing digital influence are some of the other positive trends in the Indian banking space.&nbsp;This smallcase comprises private and public sector banks to allow investors to efficiently track and invest in the banking sector.",12003,03/03/2014,185.92,226.31,144.86,134.23,10.18%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Low Risk - Smart Beta,https://www.smallcase.com/smallcase/low-risk-smart-beta-SCSB_0003,Windmill Capital,A low volatile portfolio that aims for high returns. Passive investing with a twist,4Y,12.17,Low ,"Even though higher risk should ideally yield higher returns, research has shown that, low-risk stocks have consistently outperformed high-risk stocks and provided higher returns. This effect, termed as the “Low Risk Anomaly”, challenges the basic notion of risk-return trade off and is the bedrock of low volatility investing.Low volatility investing offers better returns at lower risk levels by deriving the portfolio weighting scheme using volatility, instead of keeping it equi-weighted or market-cap weightedThis smallcase picks only liquid stocks from top 150 market cap stocks listed on NSEThe smallcase offers a much better risk-reward ratio compared to Nifty Index and Nifty ETFsThis smallcase is best suited for passive long-term investing.",79611,28/02/2007,158.18,159.48,124.76,123.1,11.82%,12.04%,5.54%,5.20%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
FMCG Tracker,"https://www.smallcase.com/smallcase/SCTR_0004
",Windmill Capital,Companies to efficiently track and invest in the FMCG sector ,6Y,13.02,Medium ,"The FMCG sector is the 4th largest sector in the Indian economy and is expected to grow at a compounded growth rate of 23.15% to reach US$ 103.70 billion by FY21 from US$ 68.38 billion in FY18.Increased brand consciousness has been driving the growth of the organized FMCG sector. Growth in modern retail will further drive the growth of the organized FMCG sectorIncreasing internet penetration and online grocery stores has provided new sales channels for FMCG companiesRural population which accounts for 65% of India's total population has only 45% revenue share in FMCG sales. Increasing disposable income and consumption in rural areas provides a large untapped marketGovernment has allowed 100% FDI in food processing and single-brand retail and 51% in multi-brand retail, this will provide high visibility for FMCG brands in organized retail markets, bolstering consumer spending and encouraging more product launchesThis smallcase comprises food &amp; beverages, tobacco, household products, batteries and personal products companies to allow investors to efficiently track and invest in the FMCG sector.",40434,03/03/2014,216.75,226.31,144.86,134.23,12.85%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
House of HDFC,"https://www.smallcase.com/smallcase/SCTR_0015
",Windmill Capital,"Companies part of HDFC group, a large conglomerate with businesses in the financial services sector",1Y,-11.27,Low ,"Housing Development Finance Corp was founded in 1977 as the first specialized mortgage company in India.Since then, the HDFC group has grown to become a large and well respected financial conglomerate with presence across housing finance, banking, insurance, asset management, student loan and real estate focused private equity fund.As of March 2022, the outstanding loan portfolio of HDFC was 2.3x the loan portfolio of the next biggest player in the housing finance market. HDFC Bank has the largest asset base amongst all private banks and stands 2nd in terms of total assets amongst all banks in India.&nbsp;The group has 6000+ branches and service centers across India.3 of the 4 listed entities of the group are part of the Nifty 50 index. As of June 2022, the combined market cap of the listed entities of the group exceeds ₹12.5 lakh crore.This smallcase is suitable for investors seeking exposure to fast growing and trusted blue chip financial companies.",10251,10/10/2018,142.13,164.17,120.82,120.18,10.63%,15.06%,5.50%,5.34%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Multiplier,"https://www.smallcase.com/smallcase/TJPMO_0003
",Teji Mandi,Concentrated portfolio of small and midcap stocks that are likely to show non-linear growth.,1Y,51.85,High ,"The multiplier portfolio is a concentrated yet well diversified portfolio of midcap and smallcap stocks. These are stocks that are likely to be winners of tomorrow, and hence hold the promise of significant wealth creation in the times to come. Certain tenets of the portfolio:Capital Allocation: We look for companies with a superior track record of capital allocation. Excellent corporate governance and capital allocation track record and strong sustainable competitive advantages ensure that we identify winners.Low coverage of mid and smallcaps: Analyst coverage of mid and smallcap stocks is much lower than large caps. This gives the fund manager an edge in spotting good businesses early and generating higher alpha.Favourable cyclical upturn: Small and midcaps tend to perform in extremes and revive sharply after bouts of negative returns. After the correction in small caps in the last 3 years, we expect a significant revival in performanceNote: As per SEBI guidelines, existing Motilal Oswal demat account holders cannot avail Teji Mandi services. Kindly reach out to support@tejimandi.com to know more.",34812,11/01/2021,210.12,174.16,129.63,115.7,20.65%,14.81%,6.67%,3.70%,0,"At Teji Mandi, our purpose is simple - to simplify stock investing.Teji Mandi is a subsidiary of Motilal Oswal Financial Services and a SEBI registered investment advisor. Vaibhav Agrawal is the founder of Teji Mandi and fund manager at Motilal Oswal Asset Management Company. He has over a decade of experience in stock picking and generating index-beating returns. Under the mentorship of ace investor, Mr Raamdeo Agrawal, Vaibhav has developed his distinct investment philosophy. Vaibhav holds a Bachelors in Computer Science from the University of Pennsylvania and an MBA from London Business School.The company counts two industry veterans as its directors, namely, Mr Raamdeo Agrawal, the Chairman of Motilal Oswal Financial Services, and Mr Ajay Menon, CEO at Motilal Oswal Securities."
Mi20,"https://www.smallcase.com/smallcase/WKIMO_0017
",Weekend Investing,20 stock Rotational Momentum Portfolio on Mid and Small cap stocks. Recommended size 1-5L. ,1Y,12.87,High ,"Mi20 is a non discretionary rotational momentum portfolio run by weekendinvesting.com. This up-to 20 stock portfolio follows the momentum trends among small and mid cap stocks from the 101-500th mkt cap universe of stocks listed on the NSE. The main aim of the strategy is gradual wealth generation by selectively following winning stocks. The historical LIVE performance of this portfolio has beaten the benchmarks by a wide margin. The re-balance of this portfolio is done every week. In downturns, this strategy does not go to cash but stays with the strongest sectors in the index.",73071,31/03/2016,472.35,221.91,142.46,132.09,29.67%,14.05%,6.01%,4.70%,0,"Alok is the Founder of Weekend Investing. He has been in the Indian stock markets for more than  two and a half decades now. He is passionate about building mechanical trading and investing models to invest in the markets that can generate superior returns. His dream is to try help others achieve Financial Independence early so that life can be lived to the full, like it has for him. He set up one of the first National Stock Exchange memberships in New Delhi in 1996. For two decades, he serviced institutional, Corporate, H.N.I. and retail clients and along the way developed a keen sense for systematic rule based investing systems and technical trading. On completing 20 years of the business in 2016, he decided to move on to a more fulfilling stage of his life and started a public blog and research services under the banner of Weekend Investing. He is a graduate from IIT Delhi (1991) and holds a Masters in Finance and an M.B.A. from University of Maryland USA (1995).Weekendinvesting Analytics P Limited is a closely held company promoted by Alok Jain which runs the Weekendinvesting brand and its products"
Smallcap Compounders,"https://www.smallcase.com/smallcase/GPRMO_0006
",Green Portfolio,"Invest in SmallCap stocks which can generate multifold returns (Rec amt 5-10 lakhs)
",1Y,46.07,High ,"-Companies with Rs. 200 crore- Rs. 3000 crore Market Cap-Growth at Reasonable Price Philosophy-Fundamentally strong stocks that can generate multiple times returns as the broader market participates in the bull run-Invests in 10-15 companies-Historical data of smallcase is not available as it has been recently launched. However, the returns expected in the next 1-2 years can be similar to our High Quality Right Price smallcase as both are of similar philosophy",16062,25/05/2017,187.61,180.57,132.02,126,13.87%,12.78%,5.82%,4.82%,2,"Divam Sharma is the Co-Founder of Green Portfolio. He is Chartered Accountant, holds an MBA from ISB, Hyderabad and a Masters in Business Finance from ICAI and has formerly worked as an analyst at CitiBank, IMGC and Kotak Mahindra Bank. He has over 15 years of experience of investment management in stock markets and along with his partner CA Anuj Jain (Co-Founder),he comes from a family having 3 generations of successful wealth creation experience from stock markets. Under his leadership, Green Portfolio research has consistently been able to create high outperformance on all its portfolios.  "
Mr. Market,"https://www.smallcase.com/smallcase/JNMET_0001
",Jainam,Investing in India's Top 100 Companies based on Market Capitalization through ETFs-Nifty 50 and Next Nifty 50 in Nippon.,2Y,28.02,Medium ,"LET WINNERS WINLarge companies are predominantly well established and have proven history with Qualitative Managements along with Products and Services.Sound Financials like Sales trends, Strong Balance sheet and ratios  provides them a competitive edge. Ability to capture Market share from Peers and Unorganized players provides them a strong footing to survive in the market.Buying Top 100 Companies through ETFs becomes Cost Efficient and helps to bid for the Winners.",839,04/07/2016,215.72,205.14,140.01,130.59,14.39%,13.18%,5.97%,4.71%,0,"Tejas Jariwala is the Research Head at Jainam Share Consultants Pvt Ltd. He Has been practicing Equity Research and Investment Advisory for the last 10+ Years. Tejas have developed skill and hand on experience on Bottom Up Research which covers Fundamental Analysis in detail I.e Quantitative and Qualitative Analysis. Jainam Share Consultants Pvt Ltd is one of the leader in South Gujarat provides all kind of Financial Services. Tejas and his team has developed different style of Portfolio and delivered well in terms of Alpha over the benchmarks since 6+ years for the clients. He is a MBA and B.Com graduate from Veer Narmad South Gujarat University, Surat, India. He has formerly worked with South Gujarat Shares &amp; Sharebrokers Limited and Concept Securities Pvt Ltd."
Metal Tracker,"https://www.smallcase.com/smallcase/SCTR_0008
",Windmill Capital,Companies to efficiently track and invest in the metal sector,6Y,14.93,High ,"Rise in infrastructure development and automotive production are driving growth of the Indian metal sector. Booming power and cement industries are also aiding growth.India is the 2nd largest crude steel producer, 3rd largest producer of coal and 4th largest in terms of iron ore production. It also has the 7th largest bauxite reserves.100% FDI is allowed in the mining sector and exploration of metal and nonmetal ores under the automatic route.&nbsp;The Government aims to increase the steel production capacity to 300 MT by 2030-31, indicating new opportunities in the sector.&nbsp;Cumulative FDI inflows into the mining and coal production sectors between April 2000 and March 2020 stood at US$ 2758.44 millionTo achieve transparency as well as better regulation and enforcement, the National Mineral Policy 2019 has been launched.This smallcase comprises aluminum, copper, manganese, iron &amp; steel and diversified companies to allow investors to efficiently track and invest in the metals and mining sector.",9542,03/03/2014,240.94,226.31,144.86,134.23,14.74%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Energy Tracker,"https://www.smallcase.com/smallcase/SCTR_0003
",Windmill Capital,Companies to efficiently track and invest in the energy sector,6Y,13.39,Medium ,"The Indian energy sector consists of oil &amp; gas as well as power companies.•	Electricity demand in the country has increased rapidly and is expected to rise further in the years to come, which is why massive addition to the installed generating capacity is required.•	Government’s focus on attaining ‘Power for all’ has accelerated capacity addition in the country.•	Total installed capacity of power stations in India stood at 395,070 MW as on January 2022, showing tremendous growth over the past 5 years.•	Government is focusing on expanding gas infrastructure across the country. 100 more districts in the next 3 years will be added to the City Gas Distribution network.•	Government has also been supporting the sector by allowing 100% FDI in different segments.•	As part of Budget 2021-22, a power distribution sector scheme will be launched with an outlay of ₹3.06 lakh crores over 5 years.This smallcase comprises coal, power transmission &amp; distribution, power trading, gas distribution, power generation and oil &amp; gas companies to allow investors to efficiently track and invest in the energy sector.",25152,03/03/2014,221.22,226.31,144.86,134.23,13.21%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Balanced - Multi Factor Tactical,"https://www.smallcase.com/smallcase/WRTMO_0003
",Wright Research,"Stable out-performance in all markets, powered by quantitative research.  Rec > 1 lac",3Y,32.49,Medium ,"This is a moderate risk strategy which aims to outperform in all stages of the market cycle, the volatile and the trending. This is achieved by dynamic allocation to various factors and asset classes based on the changing market regime.This is a multi stock portfolio of 20-25 stocks selected from the top 300 universeThe underlying equity themes consist of trend following which works in trending markets and other themes like value and low volatility which work in volatile markets.This portfolio also contains bonds, gold and international ETFs which are dynamically given higher weightage when markets are volatile.&nbsp;The historical performance of this portfolio has beaten the benchmarks by a wide margin in all market conditions.The rebalance of the portfolio is usually done every month to keep turnover low, the portfolio might also be rebalanced on a weekly basis if market conditions change drastically.This is a version of the multi factor tactical smallcase created for smaller investments. In smaller smallcase we do not include stocks with prices &gt; 5000 and constraint the weights to fit in 50k limit. The portfolios are 80% correlated.",57761,01/01/2014,232.03,159.38,116.74,117.71,32.15%,16.69%,5.26%,5.55%,2,"I have more than 10 years of professional experience in systematic portfolio management and quantitative trading in teams at HSBC, Edelweiss &amp; Qplum where I have built and handled very large scale portfolios &amp; trading algorithms.I am a globally recognized researcher in the field of machine learning in finance &amp; quantitative investing. I am a IIT Kanpur graduate and have a Masters in Financial Engineering from Worldquant University.I love quantitative research in finance and trading! I am building a business out of my deep passion for quant finance at Wright, an up &amp; coming Mumbai based investment advisory firm."
Infra Tracker,"https://www.smallcase.com/smallcase/SCTR_0005
",Windmill Capital,Companies to efficiently track and invest in the infrastructure sector,6Y,13.58,Medium ,"The infrastructure sector is a key driver for the Indian economy as it is responsible for propelling India’s overall development and enjoys intense focus of the government.&nbsp;&nbsp;&nbsp;For sustainable development of the country, India is expected to attract investments worth Rs.50 trillion (US$ 777.73 billion) investment in it's infra sector by the end of this yearAs part of Budget 2021-22, an enhanced outlay of ₹1.18 lakh crores for Ministry of Road Transport and Highways has been provided, of which ₹1.08 lakh crores is for capital expenditure - the highest ever100% FDI is permitted under the automatic route across various infrastructure sectorsIndia is expected to become the third largest construction market globally by 2022FDI in the construction development sector (townships, housing, built up infrastructure and construction development projects) and construction (infrastructure) activities stood at US$ 26.17 billion and US$ 26.30 billion, respectively, between April 2000 and December 2021India is the world’s second largest cement producer. The county's overall cement production capacity was nearly 294 million tonnes (MT) in FY21.&nbsp;This smallcase comprises construction &amp; engineering, water management, cables, ports and cement companies to allow investors to efficiently track and invest in the infra sector.&nbsp;&nbsp;",29041,03/03/2014,223.66,226.31,144.86,134.23,13.41%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
SmartNIFTY Index,"https://www.smallcase.com/smallcase/GPRET_0002
",Green Portfolio,"Invest in the top 12-15 NIFTY stocks to ensure outperformance (Rec amt 10-15 lakhs)
",2Y,36.35,Medium ,"-Invests in top 12-15 companies of NIFTY 50 Index-Companies with Strong Balance Sheet and Low Debt on books.-Companies with Good Management integrity, capability and performance track record.-Companies available at Reasonable Valuations as compared to their earnings potential.-Announcements, Results, News of the companies are regularly researched to ensure stock potential.",57673,01/10/2019,102.41,111.6,129.97,115.79,0.60%,2.76%,6.72%,3.71%,2,"Divam Sharma is the Co-Founder of Green Portfolio. He is Chartered Accountant, holds an MBA from ISB, Hyderabad and a Masters in Business Finance from ICAI and has formerly worked as an analyst at CitiBank, IMGC and Kotak Mahindra Bank. He has over 15 years of experience of investment management in stock markets and along with his partner CA Anuj Jain (Co-Founder),he comes from a family having 3 generations of successful wealth creation experience from stock markets. Under his leadership, Green Portfolio research has consistently been able to create high outperformance on all its portfolios.  "
